,year,country,value
0,1964,belgium,1
1,1964,united kingdom,4
2,1970,united states,2
3,1968,france,3
4,1983,australia,1
5,1970,united kingdom,2
6,1964,chile,1
7,1961,south africa,1
8,1961,united kingdom,1
9,1964,new zealand,1
10,1964,united states,3
11,1972,united kingdom,4
12,1977,argentina,1
13,1962,argentina,1
14,1987,united states,1
15,1962,south africa,1
16,1987,new zealand,1
17,1961,australia,4
18,1961,chile,1
19,1992,chile,2
20,1961,united states,2
21,1966,united states,2
22,1962,united kingdom,2
23,1989,united states,2
24,1989,united kingdom,3
25,1981,argentina,1
26,1961,new zealand,1
27,1991,germany,1
28,1989,new zealand,1
29,1991,japan,2
30,1987,united kingdom,1
31,1999,comnap,1
32,1972,new zealand,1
33,1972,south africa,2
34,1979,new zealand,1
35,1979,russia,1
36,1979,united kingdom,1
37,1979,united states,1
38,1989,sweden,1
39,1996,argentina,1
40,1996,italy,2
41,1977,united kingdom,1
42,1962,australia,1
43,1987,australia,1
44,1989,germany,1
45,1991,china,1
46,1979,chile,2
47,1997,scar,1
48,1997,united kingdom,2
49,1999,australia,1
50,1994,australia,1
51,1997,new zealand,1
52,1987,germany,1
53,1999,peru,1
54,1970,new zealand,1
55,1966,united kingdom,2
56,1996,south africa,1
57,1999,norway,1
58,1964,australia,2
59,2001,argentina,1
60,1996,new zealand,1
61,2001,new zealand,2
62,1968,new zealand,1
63,1968,united kingdom,1
64,1968,united states,1
65,2001,russia,1
66,1991,united kingdom,1
67,2002,scar,2
68,2002,united states,1
69,2002,australia,2
70,2005,argentina,1
71,1998,united kingdom,1
72,2004,united kingdom,2
73,2002,united kingdom,2
74,1964,norway,1
75,1964,russia,1
76,2003,new zealand,1
77,2006,argentina,2
78,2006,uruguay,1
79,2005,australia,1
80,2004,argentina,1
81,2004,chile,1
82,2004,norway,1
83,2004,spain,1
84,2004,united states,1
85,2002,india,1
86,2004,australia,1
87,2008,united states,3
88,2007,norway,2
89,2009,united states,1
90,2005,new zealand,1
91,2007,united kingdom,1
92,2002,germany,1
93,2006,united kingdom,1
94,2008,united kingdom,1
95,2010,argentina,1
96,2012,australia,1
97,2012,belgium,1
98,2012,netherlands,1
99,2012,new zealand,1
100,2012,norway,1
101,2012,south africa,1
102,2012,sweden,1
103,2012,united kingdom,1
104,2012,united states,1
105,2010,united states,1
106,2010,united kingdom,2
107,2011,new zealand,1
108,2008,belgium,1
109,2011,united kingdom,1
110,2013,united kingdom,1
111,2014,norway,1
112,2014,united kingdom,1
113,2013,china,1
114,1966,new zealand,1
115,2010,norway,1
116,2014,netherlands,1
117,2015,new zealand,1
118,2015,spain,1
119,2015,united kingdom,1
120,2015,united states,1
121,2017,belgium,1
122,2023,france,1
123,2023,netherlands,1
124,2023,belgium,1
125,2023,finland,1
126,2023,germany,1
127,2023,india,1
128,2023,new zealand,1
129,2023,norway,1
130,2023,poland,1
131,2023,spain,1
132,2023,turkey,1
133,2023,united kingdom,1
