,year,country,value
206,2013,india,0.1688183453
207,2013,italy,1.3870804882
208,2013,japan,0.3186103149
209,2013,netherlands,1.538938944
210,2013,new zealand,5.7732608602
211,2013,norway,1.3134865295
212,2013,poland,0.4052146121
213,2013,russian federation,0.7970333689
214,2013,south africa,0.5216670574
215,2013,sweden,0.8522715695
216,2013,united kingdom,7.5372060734
217,2013,united states,7.6464647253
218,2013,uruguay,0.6691259401
219,2014,argentina,3.9483800304
220,2014,australia,8.9063734847
221,2014,belgium,1.0600753777
222,2014,brazil,0.9557036501
223,2014,chile,3.3134290541
224,2014,china,3.0
225,2014,ecuador,0.3425821375
226,2014,finland,0.6161869983
227,2014,france,1.7339262351
228,2014,germany,0.2858266655
229,2014,india,2.0
230,2014,italy,0.2972704946
231,2014,japan,0.7170060718
232,2014,korea (rok),0.7567801381
233,2014,netherlands,2.203282503
234,2014,new zealand,3.0502578853
235,2014,norway,2.1508955582
236,2014,peru,0.9557036501
237,2014,poland,1.0941849104
238,2014,romania,0.5513018997
239,2014,russian federation,2.6710579343
240,2014,south africa,1.133482674
241,2014,spain,0.315851018
242,2014,sweden,0.5172956757
243,2014,united kingdom,5.1036699574
244,2014,united states,5.6189463569
245,2014,uruguay,0.2972704946
246,2015,argentina,2.8946651673
247,2015,australia,9.4523306215
248,2015,belgium,1.6835339583
249,2015,brazil,0.2925807379
250,2015,bulgaria,0.4184140947
251,2015,chile,2.1612144831
252,2015,china,1.0
253,2015,finland,0.3126033814
254,2015,france,0.6008355402
255,2015,germany,0.6628877857
256,2015,india,1.0
257,2015,italy,0.2925807379
258,2015,netherlands,2.2309715921
259,2015,new zealand,10.138547613
260,2015,norway,3.6247981027
261,2015,peru,0.2925807379
262,2015,russian federation,0.9245280462
263,2015,south africa,0.9277237532
264,2015,sweden,0.8269945612
265,2015,united kingdom,4.8470004094
266,2015,united states,5.2510897135
267,2015,uruguay,0.2925807379
268,2016,argentina,4.0085206899
269,2016,australia,6.1638512103
270,2016,belgium,1.5375215967
271,2016,brazil,0.2913038134
272,2016,chile,3.0546002315
273,2016,czechia,0.5375215967
274,2016,finland,0.5375215967
275,2016,france,3.6690906364
276,2016,germany,1.5642062369
277,2016,italy,0.8288254101
278,2016,japan,0.8678649285
279,2016,korea (rok),0.5375215967
280,2016,netherlands,1.9769464898
281,2016,new zealand,5.6596307007
282,2016,norway,1.1472555615
283,2016,peru,0.6334662733
284,2016,poland,0.5375215967
285,2016,russian federation,1.6018116313
286,2016,south africa,0.9810261121
287,2016,spain,1.8466542204
288,2016,sweden,1.7764255934
289,2016,united kingdom,7.9069633736
290,2016,united states,4.6690230024
291,2016,uruguay,0.8288254101
292,2017,argentina,2.805473813
293,2017,australia,6.7256329175
294,2017,belgium,1.8379648708
295,2017,chile,3.260313535
296,2017,china,0.6131135435
297,2017,france,2.0652538485
298,2017,germany,1.4989844995
299,2017,india,0.6131135435
300,2017,italy,0.2946675738
301,2017,korea (rok),0.6131135435
302,2017,netherlands,2.1198092565
303,2017,new zealand,5.5709269679
304,2017,norway,4.3832349329
305,2017,peru,0.3291476849
306,2017,russian federation,0.2441069811
307,2017,south africa,0.785055979
308,2017,spain,0.3892575439
309,2017,sweden,0.4407161301
310,2017,united kingdom,9.7004108955
311,2017,united states,4.3991753926
312,2018,argentina,3.5391566056
313,2018,australia,3.4736554148
314,2018,belgium,1.0
315,2018,chile,1.2901045001
316,2018,germany,0.7278414528
317,2018,italy,0.2981371136
318,2018,netherlands,0.7927121806
319,2018,new zealand,1.7031828877
320,2018,norway,0.4416362897
321,2018,poland,0.2392849735
322,2018,south africa,0.4416362897
323,2018,spain,0.3870466956
324,2018,sweden,0.4416362897
325,2018,united kingdom,6.3975443917
326,2018,united states,3.6057163105
327,2019,argentina,7.0814599329
328,2019,australia,6.678314522
329,2019,belgium,1.0
330,2019,brazil,1.0
331,2019,chile,4.1849976631
332,2019,ecuador,1.0
333,2019,france,0.816890894
334,2019,germany,0.500848208
335,2019,italy,2.4228177687
336,2019,japan,0.7296366784
337,2019,korea (rok),1.0
338,2019,netherlands,1.1103258006
