,year,country,value
287,2017,belarus,1
288,2017,belgium,40
289,2017,brazil,77
290,2017,bulgaria,5
291,2017,canada,57
292,2017,chile,65
293,2017,china,106
294,2017,colombia,5
295,2017,costa rica,2
296,2017,croatia,1
297,2017,cyprus,2
298,2017,czechia,25
299,2017,denmark,36
300,2017,ecuador,3
301,2017,egypt,1
302,2017,estonia,3
303,2017,ethiopia,1
304,2017,finland,17
305,2017,france,109
306,2017,germany,154
307,2017,greece,3
308,2017,hungary,7
309,2017,iceland,1
310,2017,india,19
311,2017,indonesia,2
312,2017,iran,2
313,2017,ireland,4
314,2017,israel,4
315,2017,italy,124
316,2017,japan,75
317,2017,lithuania,1
318,2017,malaysia,9
319,2017,maldives,1
320,2017,mexico,12
321,2017,monaco,2
322,2017,morocco,1
323,2017,netherlands,53
324,2017,new zealand,81
325,2017,nigeria,1
326,2017,norway,47
327,2017,pakistan,1
328,2017,panama,2
329,2017,peru,3
330,2017,poland,27
331,2017,portugal,29
332,2017,republic of korea,61
333,2017,romania,3
334,2017,russia,57
335,2017,saudi arabia,3
336,2017,senegal,1
337,2017,serbia,3
338,2017,singapore,2
339,2017,slovenia,1
340,2017,south africa,25
341,2017,spain,98
342,2017,sri lanka,1
343,2017,sweden,43
344,2017,switzerland,42
345,2017,taiwan,7
346,2017,thailand,1
347,2017,turkey,5
348,2017,ukraine,5
349,2017,united arab emirates,3
350,2017,united kingdom,285
351,2017,united states,475
352,2017,uruguay,4
353,2017,venezuela,1
354,2017,vietnam,1
355,2018,algeria,1
356,2018,argentina,72
357,2018,australia,152
358,2018,austria,14
359,2018,belgium,44
360,2018,brazil,89
361,2018,bulgaria,3
362,2018,canada,55
363,2018,chile,71
364,2018,china,144
365,2018,colombia,5
366,2018,costa rica,1
367,2018,croatia,1
368,2018,cyprus,1
369,2018,czechia,22
370,2018,denmark,29
371,2018,ecuador,3
372,2018,estonia,4
373,2018,fiji,1
374,2018,finland,22
375,2018,france,125
376,2018,germany,159
377,2018,greece,2
378,2018,hungary,4
379,2018,iceland,2
380,2018,india,52
381,2018,indonesia,1
382,2018,iran,5
383,2018,ireland,4
384,2018,israel,5
385,2018,italy,95
386,2018,japan,54
387,2018,luxembourg,1
388,2018,malaysia,24
389,2018,mexico,9
390,2018,monaco,1
391,2018,mongolia,1
392,2018,mozambique,2
393,2018,netherlands,65
394,2018,new zealand,80
395,2018,nigeria,3
396,2018,norway,50
397,2018,pakistan,2
398,2018,panama,5
399,2018,peru,1
400,2018,poland,40
401,2018,portugal,15
402,2018,republic of korea,56
403,2018,romania,6
404,2018,russia,50
405,2018,saudi arabia,3
406,2018,serbia,1
407,2018,seychelles,1
408,2018,singapore,2
409,2018,slovakia,2
410,2018,south africa,27
411,2018,spain,78
412,2018,sweden,43
413,2018,switzerland,30
414,2018,taiwan,5
415,2018,tonga,1
416,2018,tunisia,1
417,2018,turkey,5
418,2018,ukraine,6
419,2018,united arab emirates,1
420,2018,united kingdom,237
421,2018,united states,432
422,2018,uruguay,6
423,2018,venezuela,2
424,2018,vietnam,1
425,2019,albania,1
426,2019,algeria,1
427,2019,argentina,71
428,2019,australia,192
429,2019,austria,21
430,2019,belarus,1
431,2019,belgium,42
432,2019,brazil,92
433,2019,bulgaria,3
434,2019,canada,65
435,2019,chile,83
436,2019,china,191
437,2019,colombia,4
438,2019,costa rica,1
439,2019,croatia,2
440,2019,cuba,1
441,2019,czechia,30
442,2019,denmark,28
443,2019,ecuador,2
444,2019,egypt,2
445,2019,estonia,1
446,2019,fiji,1
447,2019,finland,15
448,2019,france,111
449,2019,germany,187
450,2019,greece,4
451,2019,hungary,1
452,2019,iceland,3
453,2019,india,43
454,2019,indonesia,4
455,2019,iran,2
456,2019,iraq,1
457,2019,ireland,3
458,2019,israel,1
459,2019,italy,102
460,2019,japan,71
461,2019,latvia,1
462,2019,malawi,1
463,2019,malaysia,19
464,2019,malta,1
465,2019,mexico,8
466,2019,morocco,1
467,2019,mozambique,1
468,2019,nepal,1
469,2019,netherlands,49
470,2019,new zealand,78
471,2019,nigeria,3
472,2019,norway,49
473,2019,pakistan,1
474,2019,panama,2
475,2019,peru,5
476,2019,poland,27
477,2019,portugal,28
478,2019,republic of korea,72
479,2019,romania,3
480,2019,russia,46
481,2019,saudi arabia,4
482,2019,singapore,3
483,2019,south africa,32
484,2019,spain,92
485,2019,sri lanka,1
486,2019,sweden,47
487,2019,switzerland,37
488,2019,taiwan,7
489,2019,thailand,4
490,2019,turkey,5
491,2019,uganda,1
492,2019,ukraine,12
493,2019,united arab emirates,2
494,2019,united kingdom,258
495,2019,united states,457
496,2019,uruguay,9
497,2019,uzbekistan,1
498,2019,vietnam,3
499,2020,algeria,2
500,2020,angola,1
501,2020,argentina,82
502,2020,australia,161
503,2020,austria,15
504,2020,bangladesh,1
505,2020,belarus,3
506,2020,belgium,56
507,2020,brazil,94
508,2020,bulgaria,9
509,2020,canada,54
510,2020,chile,94
511,2020,china,198
512,2020,colombia,6
513,2020,costa rica,1
514,2020,croatia,2
515,2020,cyprus,1
516,2020,czechia,29
517,2020,denmark,27
518,2020,ecuador,6
519,2020,egypt,2
520,2020,el salvador,2
521,2020,estonia,2
522,2020,ethiopia,1
523,2020,finland,17
524,2020,france,135
525,2020,georgia,2
526,2020,germany,181
527,2020,greece,4
528,2020,hungary,1
529,2020,iceland,1
530,2020,india,45
531,2020,indonesia,1
532,2020,iran,2
533,2020,iraq,1
534,2020,ireland,11
535,2020,israel,7
536,2020,italy,94
537,2020,japan,100
538,2020,latvia,1
539,2020,luxembourg,3
540,2020,malaysia,21
541,2020,mexico,6
542,2020,monaco,2
543,2020,netherlands,54
544,2020,new zealand,88
545,2020,nigeria,4
546,2020,norway,68
547,2020,pakistan,1
548,2020,peru,4
549,2020,poland,31
550,2020,portugal,26
551,2020,republic of korea,69
552,2020,romania,1
553,2020,russia,69
554,2020,saudi arabia,3
555,2020,serbia,3
556,2020,singapore,4
557,2020,slovakia,1
558,2020,south africa,36
559,2020,spain,89
560,2020,sri lanka,1
561,2020,sweden,34
562,2020,switzerland,43
563,2020,taiwan,6
564,2020,thailand,2
565,2020,tunisia,1
566,2020,turkey,8
567,2020,uganda,1
568,2020,ukraine,17
569,2020,united arab emirates,3
570,2020,united kingdom,293
571,2020,united states,472
572,2020,uruguay,8
573,2020,vietnam,2
574,2020,yemen,1
575,2021,argentina,80
576,2021,australia,184
577,2021,austria,18
578,2021,belarus,5
579,2021,belgium,62
580,2021,brazil,102
581,2021,bulgaria,5
582,2021,canada,72
583,2021,chile,90
584,2021,china,241
585,2021,colombia,14
586,2021,costa rica,1
587,2021,croatia,2
588,2021,czechia,28
589,2021,denmark,49
590,2021,ecuador,5
591,2021,estonia,1
592,2021,finland,26
593,2021,france,148
594,2021,georgia,1
595,2021,germany,205
596,2021,greece,2
597,2021,hungary,1
598,2021,iceland,3
599,2021,india,62
600,2021,indonesia,2
601,2021,iran,4
602,2021,iraq,1
603,2021,ireland,3
604,2021,israel,6
605,2021,italy,130
606,2021,japan,96
607,2021,kazakhstan,1
608,2021,kuwait,1
609,2021,kyrgyzstan,1
610,2021,libya,1
611,2021,lithuania,3
612,2021,luxembourg,1
613,2021,malaysia,10
614,2021,mexico,9
615,2021,monaco,1
616,2021,mongolia,1
617,2021,netherlands,64
618,2021,new zealand,94
619,2021,nigeria,1
620,2021,norway,71
621,2021,pakistan,2
622,2021,paraguay,1
623,2021,peru,8
624,2021,poland,46
625,2021,portugal,27
626,2021,republic of korea,85
627,2021,romania,2
628,2021,russia,65
629,2021,saudi arabia,6
630,2021,singapore,3
631,2021,slovenia,1
632,2021,south africa,31
633,2021,spain,108
634,2021,sri lanka,1
635,2021,sweden,36
636,2021,switzerland,36
637,2021,taiwan,4
638,2021,thailand,6
639,2021,turkey,13
640,2021,ukraine,33
641,2021,united arab emirates,5
642,2021,united kingdom,291
643,2021,united states,502
644,2021,uruguay,12
645,2021,vietnam,1
646,2022,albania,3
647,2022,argentina,64
648,2022,armenia,1
649,2022,australia,168
650,2022,austria,15
651,2022,bahrain,1
652,2022,bangladesh,2
653,2022,belarus,6
654,2022,belgium,40
655,2022,benin,1
656,2022,bolivia,1
657,2022,brazil,129
658,2022,bulgaria,9
659,2022,burkina,1
660,2022,cambodia,1
661,2022,cameroon,1
662,2022,canada,74
663,2022,chile,73
664,2022,china,279
665,2022,colombia,10
666,2022,congo,1
667,2022,costa rica,2
668,2022,croatia,1
669,2022,cuba,1
670,2022,cyprus,2
671,2022,czechia,22
672,2022,denmark,34
673,2022,ecuador,5
674,2022,egypt,4
675,2022,el salvador,1
676,2022,ethiopia,1
677,2022,finland,20
678,2022,france,84
679,2022,gambia,1
680,2022,georgia,2
681,2022,germany,169
682,2022,ghana,2
683,2022,greece,5
684,2022,hungary,1
685,2022,iceland,3
686,2022,india,47
687,2022,indonesia,3
688,2022,iran,4
689,2022,ireland,8
690,2022,israel,5
691,2022,italy,122
692,2022,ivory coast,1
693,2022,japan,73
694,2022,kazakhstan,1
695,2022,kenya,1
696,2022,lesotho,1
697,2022,liberia,1
698,2022,lithuania,2
699,2022,luxembourg,1
700,2022,madagascar,1
701,2022,malaysia,14
702,2022,mexico,6
703,2022,monaco,5
704,2022,mongolia,1
705,2022,netherlands,47
706,2022,new zealand,93
707,2022,nigeria,1
708,2022,norway,52
709,2022,oman,1
710,2022,pakistan,4
711,2022,palestine,1
712,2022,panama,1
713,2022,peru,5
714,2022,philippines,1
715,2022,poland,33
716,2022,portugal,20
717,2022,republic of korea,93
718,2022,romania,1
719,2022,russia,64
720,2022,saudi arabia,11
721,2022,serbia,2
722,2022,sierra leone,1
723,2022,singapore,5
724,2022,slovenia,4
725,2022,south africa,56
726,2022,south sudan,1
727,2022,spain,88
