,year,country,value
296,2009,acap,2
297,2009,comnap,2
298,2009,republic of korea,3
299,2009,chile,9
300,2009,ecuador,6
301,2009,united states,8
302,2009,romania,8
303,2009,new zealand,5
304,2009,united kingdom,6
305,2009,canada,1
306,2009,china,4
307,2009,ukraine,3
308,2009,australia,8
309,2009,japan,5
310,2009,uruguay,2
311,2009,peru,1
312,2009,norway,3
313,2009,ccamlr,1
314,2009,iho,1
315,2009,iucn,1
316,2009,bulgaria,1
317,2009,czechia,1
318,2009,iaato,5
319,2010,spain,6
320,2010,united states,11
321,2010,new zealand,7
322,2010,belgium,2
323,2010,unep,1
324,2010,ecuador,9
325,2010,australia,9
326,2010,scar,7
327,2010,asoc,11
328,2010,chile,6
329,2010,romania,6
330,2010,india,4
331,2010,ccamlr,2
332,2010,comnap,2
333,2010,uruguay,4
334,2010,republic of korea,5
335,2010,russia,4
336,2010,united kingdom,7
337,2010,germany,3
338,2010,iaato,10
339,2010,japan,4
340,2010,ukraine,2
341,2010,brazil,2
342,2010,italy,2
343,2010,argentina,9
344,2010,norway,2
345,2010,china,3
346,2010,iho,1
347,2010,south africa,3
348,2010,imo,1
349,2010,bulgaria,1
350,2010,czechia,1
351,2011,germany,6
352,2011,australia,11
353,2011,united states,10
354,2011,china,3
355,2011,india,2
356,2011,romania,5
357,2011,russia,6
358,2011,republic of korea,6
359,2011,argentina,12
360,2011,chile,8
361,2011,norway,8
362,2011,spain,1
363,2011,united kingdom,7
364,2011,uruguay,8
365,2011,netherlands,4
366,2011,asoc,13
367,2011,comnap,2
368,2011,bulgaria,3
369,2011,portugal,1
370,2011,japan,4
371,2011,scar,9
372,2011,iucn,1
373,2011,iaato,7
374,2011,ukraine,5
375,2011,ccamlr,3
376,2011,ecuador,4
377,2011,finland,1
378,2011,unep,1
379,2011,italy,1
380,2011,czechia,2
381,2011,france,1
382,2011,peru,1
383,2011,iho,1
384,2011,venezuela,1
385,2011,new zealand,1
386,2012,belgium,2
387,2012,netherlands,4
388,2012,finland,1
389,2012,sweden,1
390,2012,unep,2
391,2012,romania,3
392,2012,australia,9
393,2012,comnap,5
394,2012,scar,7
395,2012,asoc,12
396,2012,united kingdom,8
397,2012,chile,6
398,2012,ccamlr,3
399,2012,republic of korea,2
400,2012,new zealand,5
401,2012,italy,1
402,2012,india,2
403,2012,russia,6
404,2012,germany,2
405,2012,iucn,2
406,2012,china,3
407,2012,united states,4
408,2012,iaato,5
409,2012,brazil,3
410,2012,ukraine,1
411,2012,argentina,5
412,2012,norway,2
413,2012,spain,2
414,2012,wmo,1
415,2012,iho,1
416,2012,ecuador,1
417,2012,japan,1
418,2013,republic of korea,4
419,2013,new zealand,5
420,2013,australia,7
421,2013,china,2
422,2013,india,3
423,2013,russia,8
424,2013,asoc,12
425,2013,romania,1
426,2013,united kingdom,11
427,2013,norway,3
428,2013,argentina,8
429,2013,chile,10
430,2013,spain,5
431,2013,united states,6
432,2013,belgium,2
433,2013,netherlands,2
434,2013,comnap,5
435,2013,scar,6
436,2013,iaato,9
437,2013,ccamlr,2
438,2013,iho,1
439,2013,venezuela,3
440,2013,japan,2
441,2013,belarus,1
442,2013,austria,1
443,2013,brazil,6
444,2013,italy,5
445,2013,germany,3
446,2013,france,3
447,2013,south africa,1
448,2013,colombia,1
449,2013,malaysia,1
450,2014,united kingdom,13
451,2014,spain,3
452,2014,new zealand,5
453,2014,united states,10
454,2014,australia,10
455,2014,china,3
456,2014,india,2
457,2014,russia,5
458,2014,romania,1
459,2014,wmo,2
460,2014,scar,6
461,2014,asoc,8
462,2014,italy,3
463,2014,comnap,9
464,2014,ccamlr,2
465,2014,portugal,1
466,2014,belgium,2
467,2014,brazil,6
468,2014,bulgaria,1
469,2014,chile,6
470,2014,republic of korea,1
471,2014,norway,3
472,2014,argentina,11
473,2014,france,3
474,2014,south africa,2
475,2014,netherlands,1
476,2014,iho,1
477,2014,iaato,6
478,2014,malaysia,1
479,2014,germany,1
480,2014,imo,1
481,2014,japan,1
482,2014,czechia,1
483,2015,new zealand,12
484,2015,spain,4
485,2015,united kingdom,16
486,2015,united states,13
487,2015,asoc,7
488,2015,netherlands,2
489,2015,australia,12
490,2015,belgium,4
491,2015,norway,6
492,2015,scar,6
493,2015,belarus,2
494,2015,comnap,8
495,2015,ccamlr,3
496,2015,chile,6
497,2015,portugal,3
498,2015,brazil,3
499,2015,venezuela,2
500,2015,germany,7
501,2015,italy,1
502,2015,iaato,8
503,2015,bulgaria,2
504,2015,south africa,3
505,2015,argentina,9
506,2015,czechia,4
507,2015,poland,2
508,2015,republic of korea,2
509,2015,russia,2
510,2015,iho,1
511,2015,colombia,3
512,2015,india,3
513,2015,finland,1
514,2015,japan,2
515,2015,france,5
516,2015,romania,3
517,2015,china,1
518,2015,uruguay,1
519,2015,malaysia,1
520,2015,canada,3
521,2016,scar,6
522,2016,united states,8
523,2016,asoc,8
524,2016,norway,2
525,2016,wmo,6
526,2016,united kingdom,10
527,2016,argentina,10
528,2016,iaato,12
529,2016,ipcc,1
530,2016,italy,2
531,2016,ccamlr,2
532,2016,comnap,3
533,2016,portugal,2
534,2016,brazil,5
535,2016,bulgaria,2
536,2016,france,3
537,2016,venezuela,4
538,2016,colombia,6
539,2016,russia,7
540,2016,chile,21
541,2016,belarus,2
542,2016,germany,3
543,2016,republic of korea,3
544,2016,new zealand,1
545,2016,belgium,2
546,2016,poland,2
547,2016,ecuador,1
548,2016,south africa,2
549,2016,monaco,1
550,2016,china,1
551,2016,spain,2
552,2016,iho,1
553,2016,australia,6
554,2016,ukraine,1
555,2016,turkey,1
556,2016,malaysia,1
557,2016,japan,1
558,2016,romania,2
559,2017,australia,12
560,2017,new zealand,7
561,2017,scar,11
562,2017,norway,7
563,2017,united kingdom,14
564,2017,spain,6
565,2017,portugal,3
566,2017,brazil,6
567,2017,china,4
568,2017,india,2
569,2017,russia,7
570,2017,united states,13
571,2017,poland,5
572,2017,argentina,12
573,2017,chile,16
574,2017,asoc,9
575,2017,iaato,7
576,2017,netherlands,3
577,2017,belgium,3
578,2017,finland,5
579,2017,france,3
580,2017,germany,10
581,2017,italy,3
582,2017,sweden,1
583,2017,wmo,8
584,2017,comnap,6
585,2017,ccamlr,2
586,2017,venezuela,3
587,2017,south africa,3
588,2017,colombia,8
589,2017,ecuador,9
590,2017,peru,3
591,2017,bulgaria,1
592,2017,turkey,7
593,2017,romania,4
594,2017,belarus,4
595,2017,igp&i clubs,1
596,2017,iopc funds,1
597,2017,iceland,1
598,2017,iho,1
599,2017,japan,3
600,2017,imo,1
601,2017,canada,1
602,2017,malaysia,1
603,2017,czechia,1
604,2017,republic of korea,1
605,2017,uruguay,1
606,2017,kazakhstan,1
607,2018,argentina,6
608,2018,chile,5
609,2018,australia,6
610,2018,belgium,1
611,2018,ecuador,1
612,2018,spain,3
613,2018,asoc,7
614,2018,netherlands,1
615,2018,romania,2
616,2018,norway,1
617,2018,united kingdom,4
618,2018,new zealand,3
619,2018,china,3
620,2018,comnap,3
621,2018,scar,5
622,2018,wmo,3
623,2018,ccamlr,2
624,2018,uruguay,1
625,2018,republic of korea,3
626,2018,poland,1
627,2018,russia,5
628,2018,brazil,3
629,2018,belarus,3
630,2018,ukraine,2
631,2018,turkey,2
632,2018,igp&i clubs,1
633,2018,france,1
634,2018,united states,1
635,2018,colombia,1
636,2018,iaato,4
637,2018,acap,1
638,2018,india,2
639,2018,japan,1
640,2019,iaato,15
641,2019,scar,16
642,2019,australia,16
643,2019,china,3
644,2019,india,4
645,2019,russia,7
646,2019,chile,18
647,2019,asoc,8
648,2019,czechia,1
649,2019,united states,14
650,2019,romania,4
651,2019,netherlands,3
652,2019,united kingdom,16
653,2019,new zealand,4
654,2019,comnap,5
655,2019,portugal,6
656,2019,south africa,1
657,2019,spain,8
658,2019,wmo,6
659,2019,italy,3
660,2019,ccamlr,2
661,2019,norway,7
662,2019,germany,6
663,2019,estonia,1
664,2019,peru,4
665,2019,brazil,7
666,2019,colombia,5
667,2019,belarus,4
668,2019,turkey,13
669,2019,sweden,1
670,2019,uruguay,2
671,2019,belgium,1
672,2019,argentina,10
673,2019,ukraine,2
674,2019,igp&i clubs,1
675,2019,iopc funds,1
676,2019,ecuador,2
677,2019,poland,4
678,2019,republic of korea,1
679,2019,france,3
680,2019,finland,5
681,2019,icao,1
682,2019,malaysia,1
683,2019,japan,1
684,2019,bulgaria,1
685,2019,monaco,1
686,2021,australia,9
687,2021,germany,8
688,2021,new zealand,4
689,2021,norway,6
690,2021,spain,9
691,2021,united kingdom,17
692,2021,united states,9
693,2021,iucn,1
694,2021,scar,10
695,2021,argentina,7
696,2021,chile,12
697,2021,asoc,4
698,2021,iaato,6
699,2021,canada,3
700,2021,turkey,15
701,2021,comnap,3
702,2021,wmo,3
703,2021,portugal,4
704,2021,belgium,1
705,2021,bulgaria,3
706,2021,colombia,16
707,2021,brazil,6
708,2021,russia,6
709,2021,belarus,3
710,2021,japan,3
711,2021,italy,5
712,2021,south africa,1
713,2021,netherlands,1
714,2021,finland,1
715,2021,ecuador,2
716,2021,peru,3
717,2021,poland,6
718,2021,republic of korea,2
719,2021,uruguay,3
720,2021,ccamlr,1
721,2021,iho,1
722,2021,malaysia,1
723,2021,ukraine,2
724,2021,france,1
725,2022,united kingdom,12
726,2022,australia,12
727,2022,brazil,5
728,2022,ecuador,9
729,2022,peru,4
730,2022,poland,2
731,2022,united states,10
732,2022,new zealand,4
733,2022,portugal,4
734,2022,sweden,3
735,2022,wmo,6
736,2022,belarus,2
737,2022,scar,6
738,2022,belgium,1
739,2022,iaato,6
740,2022,netherlands,1
741,2022,uruguay,7
742,2022,asoc,5
743,2022,argentina,15
744,2022,ccamlr,3
745,2022,comnap,5
746,2022,chile,13
747,2022,colombia,4
748,2022,venezuela,2
749,2022,spain,3
750,2022,turkey,8
751,2022,germany,12
752,2022,japan,3
753,2022,italy,2
754,2022,switzerland,2
755,2022,republic of korea,5
756,2022,china,3
757,2022,finland,1
758,2022,france,3
759,2022,norway,3
760,2022,ukraine,2
761,2022,india,2
762,2022,malaysia,2
763,2022,czechia,1
764,2022,bulgaria,1
765,2023,argentina,14
766,2023,scar,19
767,2023,iaato,13
768,2023,germany,9
769,2023,united states,19
770,2023,chile,12
771,2023,spain,8
772,2023,norway,11
773,2023,united kingdom,17
774,2023,new zealand,6
775,2023,belgium,5
776,2023,iho,1
777,2023,republic of korea,6
778,2023,portugal,9
779,2023,australia,16
780,2023,france,11
781,2023,japan,4
782,2023,asoc,9
783,2023,uruguay,2
784,2023,wmo,11
785,2023,comnap,6
786,2023,ccamlr,2
787,2023,bulgaria,4
788,2023,india,4
789,2023,italy,6
790,2023,poland,4
791,2023,ecuador,10
792,2023,belarus,3
793,2023,sweden,4
794,2023,canada,3
795,2023,brazil,1
796,2023,peru,1
797,2023,colombia,1
798,2023,turkey,6
799,2023,netherlands,5
800,2023,russia,1
801,2023,south africa,1
802,2023,switzerland,1
803,2024,chile,18
804,2024,argentina,16
805,2024,china,5
806,2024,republic of korea,11
807,2024,russia,2
808,2024,uruguay,6
809,2024,australia,15
810,2024,united kingdom,16
811,2024,spain,7
812,2024,asoc,10
813,2024,norway,12
814,2024,united states,19
815,2024,iaato,13
816,2024,india,15
817,2024,wmo,6
818,2024,scar,17
819,2024,comnap,5
820,2024,ccamlr,2
821,2024,new zealand,7
822,2024,brazil,7
823,2024,turkey,3
824,2024,peru,8
825,2024,romania,1
826,2024,colombia,6
