Document_Number,Subject,Status,Category,Topics,Title,Content
843,Revised Rules of Procedure for the Antarctic Treaty Consultative Meeting,Adopted 03/07/2025,Institutional & legal matters,Institutional & legal matters,"Decision 2 (2025) - ATCM 47 - CEP 27, Milan","Revised Rules of Procedure for the Antarctic Treaty Consultative MeetingThe Representatives,Recalling that, at Antarctic Treaty Consultative Meeting (“ATCM”) XLV (2023), the Secretariat of the Antarctic Treaty (“the Secretariat”) was tasked to review, within existing resources, all relevant Antarctic Treaty documents pertaining to current and future cooperation, to provide options for potential adoption by the ATCM that would ensure gender-neutral language across these documents;Recalling that the Secretariat reviewed the current Rules of Procedure for the ATCM and presented draft Revised Rules of Procedure to ATCM 46 (2024), in each of the four official languages of the Antarctic Treaty, to address inconsistencies identified with the United Nations Guidelines for gender-inclusive language;Recalling Decision 2 (2024) Revised Rules of Procedure for the ATCM which annexed the updated Revised Rules of Procedure with revisions in the English language only;Recalling that, at ATCM 46, the Secretariat was requested to send the French, Russian and Spanish versions of the draft Revised Rules of Procedure for the ATCM for proofreading;Noting that the Secretariat presented for consideration the French, Russian and Spanish versions of the draft Revised Rules of Procedure for the ATCM to ATCM 47;Desiring to replace the current French and Spanish language versions of the Rules of Procedure for the ATCM;Desiring that no changes be made to the Russian language version;Desiring to make editorial changes in all four official languages;Decide:1. to make no changes to the Russian version of the Revised Rules of Procedure for the ATCM;2. to make editorial changes in all four official languages; and3. to replace the Revised Rules of Procedure for the ATCM annexed to Decision 2 (2024) with the Revised Rules of Procedure for the ATCM in all four official languages annexed to this Decision."
842,Revised Rules of Procedure for the Committee for Environmental Protection,Adopted 03/07/2025,Institutional & legal matters,Institutional & legal matters,"Decision 1 (2025) - ATCM 47 - CEP 27, Milan","Revised Rules of Procedure for the Committee for Environmental ProtectionThe Representatives,Recalling Decision 1 (2023) Revised Rules of Procedure for the Committee for Environmental Protection (2023);Recalling that, at Antarctic Treaty Consultative Meeting (“ATCM”) XLV (2023), the Secretariat of the Antarctic Treaty (“the Secretariat”) was tasked to review, within existing resources, all relevant Antarctic Treaty documents pertaining to current and future cooperation, to provide options for potential adoption by the ATCM that would ensure gender-neutral language across these documents;Recalling that, at ATCM 46 (2024), the Secretariat was requested to send the French, Russian and Spanish versions of the draft Revised Rules of Procedure for the Committee for Environmental Protection (“CEP”) for proofreading;Noting that the Secretariat presented for consideration the French, Russian and Spanish versions of the draft Revised Rules of Procedure for the CEP to the 27th Meeting of the CEP;Desiring to replace the current French and Spanish language versions of the Rules of Procedure for the CEP;Desiring that no changes be made to the English and Russian language versions;Decide:1. to make no changes to the English and Russian language versions of the Revised Rules of Procedure for the CEP (2023); and2. to replace the Revised Rules of Procedure for the CEP (2023) annexed to Decision 1 (2023) with the Revised Rules of Procedure for the CEP in all four official languages annexed to this Decision."
841,"Antarctic Specially Protected Area No 143 (Marine Plain, Mule Peninsula, Vestfold Hills, Princess Elizabeth Land): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 3 (2025) - ATCM 47 - CEP 27, Milan","Antarctic Specially Protected Area No 143 (Marine Plain, Mule Peninsula, Vestfold Hills, Princess Elizabeth Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIV-5 (1987), which designated Marine Plain, Mule Peninsula, Vestfold Hills, Princess Elizabeth Land as Site of Special Scientific Interest (“SSSI”) No 25 and annexed a Management Plan for the site;Resolution 3 (1996), which extended the expiry date for SSSI 25;Measure 2 (2000), which extended the expiry date of the Management Plan for SSSI 25;Decision 1 (2002), which renamed and renumbered SSSI 25 as ASPA 143;Measures 2 (2003) and 9 (2013), which adopted revised Management Plans for ASPA 143;Recalling that Resolution 3 (1996) was designated as no longer current by Decision 1 (2011);Recalling that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 143;Desiring to replace the existing Management Plan for ASPA 143 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 143 (Marine Plain, Mule Peninsula, Vestfold Hills, Princess Elizabeth Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 143 annexed to Measure 9 (2013) be revoked."
840,"Antarctic Specially Protected Area No 169 (Amanda Bay, Ingrid Christensen Coast, Princess Elizabeth Land, East Antarctica): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 2 (2025) - ATCM 47 - CEP 27, Milan","Antarctic Specially Protected Area No 169 (Amanda Bay, Ingrid Christensen Coast, Princess Elizabeth Land, East Antarctica): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 3 (2008), which designated Amanda Bay, Ingrid Christensen Coast, Princess Elizabeth Land, East Antarctica as ASPA 169 and adopted a Management Plan for the Area;Measure 10 (2014), which adopted a revised Management Plan for ASPA 169;Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 169;Desiring to replace the existing Management Plan for ASPA 169 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 169 (Amanda Bay, Ingrid Christensen Coast, Princess Elizabeth Land, East Antarctica), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 169 annexed to Measure 10 (2014) be revoked."
839,"Antarctic Specially Protected Area No 162 (Mawson’s Huts, Cape Denison, Commonwealth Bay, George V Land, East Antarctica): Revised Management Plan",Not yet effective (Fast Approval: Netherlands),Area protection and management,Area protection and management,"Measure 1 (2025) - ATCM 47 - CEP 27, Milan","Antarctic Specially Protected Area No 162 (Mawson’s Huts, Cape Denison, Commonwealth Bay, George V Land, East Antarctica): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 2 (2004), which designated Mawson’s Huts, Commonwealth Bay, George V Land, East Antarctica as ASPA 162 and adopted a Management Plan for the Area;Measure 1 (2004), which designated Cape Denison, Commonwealth Bay, George V Land, East Antarctica as Antarctic Specially Managed Area (“ASMA”) No 3, within which ASPA 162 is located;Measure 3 (2004), which added Historic Site and Monument (“HSM”) No 77 (Cape Denison), located partially within ASPA 162, to the List of HSM;Measure 1 (2009), which adopted a revised Management Plan for ASMA 3;Measure 9 (2014), which stated that ASMA 3 shall not be used as a future designation and revoked its Management Plan;Measures 12 (2009) and 9 (2014), which adopted revised Management Plans for ASPA 162;Recalling that the Committee for Environmental Protection (“CEP”) XXII (2019) reviewed and continued without changes the Management Plan for ASPA 162, which is annexed to Measure 9 (2014);Noting that the CEP has endorsed a revised Management Plan for ASPA 162;Desiring to replace the existing Management Plan for ASPA 162 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 162 (Mawson’s Huts, Cape Denison, Commonwealth Bay, George V Land, East Antarctica), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 162 annexed to Measure 9 (2014) be revoked."
838,Procedure for CEP consideration of draft CEEs,Adopted 08/06/2023,Environmental impact assessment,Environmental impact assessment,"Adopted by CEP XXV (Helsinki, 2023)",(16) The Committee agreed to advise the ATCM that it had updated its Procedure for CEP consideration of draft CEEs (Appendix 2). The Committee also agreed to draw the ATCM’s attention to the provisions reflecting the Secretariat’s role to facilitate the handling and translation of draft CEEs.
837,General Guidelines for Visitors to the Antarctic,Adopted 30/05/2024,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Resolution 2 (2024) - ATCM 46 - CEP 26, Kochi","General Guidelines for Visitors to the AntarcticThe Representatives,Recalling Recommendation XVIII-1 (1994), which annexed the Guidance for those organising and conducting tourism and non-governmental activities in the Antarctic and Resolution 3 (2011), which annexed General Guidelines for Visitors to the Antarctic (“General Guidelines”);Recalling Resolution 4 (2021), which annexed updated General Guidelines;Recalling that, at Antarctic Treaty Consultative Meeting (“ATCM”) XLV (2023), the Secretariat of the Antarctic Treaty (“the Secretariat”) was tasked to review, within existing resources, all relevant Antarctic Treaty documents pertaining to current and future cooperation, to provide options for potential adoption by the ATCM that would ensure gender-neutral language across these documents;Noting that the Secretariat has reviewed the General Guidelines and has prepared draft revised General Guidelines, in each of the official languages of the Antarctic Treaty, to address identified inconsistencies with the United Nations Guidelines for gender-inclusive language (“UN Guidelines”);Desiring to replace, at this time, only the current English language version of the General Guidelines;Further desiring to submit the French, Russian and Spanish versions of the draft revised General Guidelines for proof-reading to ensure that the substance of their current provisions has not been altered;Recommend that their Governments:1. request the Secretariat to replace the English language version of the General Guidelines currently on its website with the revised version annexed to this Resolution; and2. request the Secretariat to send the French, Russian and Spanish versions of the draft revised General Guidelines for proofreading to be presented for consideration to the 47th Antarctic Treaty Consultative Meeting."
836,Revised Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas,Adopted 30/05/2024,Area protection and management,Area protection and management,"Resolution 1 (2024) - ATCM 46 - CEP 26, Kochi","Revised Guide to the Preparation of Management Plans for Antarctic Specially Protected AreasThe Representatives,Recalling the requirements under Article 5 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) to prepare and revise Management Plans for Antarctic Specially Protected Areas;Recalling also the Action within the Committee for Environmental Protection (“CEP”) Climate Change Response Work Programme to ‘Review and revise where necessary existing management tools to consider if they afford the best practical adaptation measure to areas at risk from climate change’;Noting that under Resolution 2 (2011), the Antarctic Treaty Consultative Meeting (“ATCM”) adopted a revised version of the Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas (“the Guide”);Desiring to update the Guide to reflect current best practice in the preparation of Management Plans for Antarctic Specially Protected Areas, including with regard to climate change;Considering the revision of the Guide by the CEP and its Subsidiary Group on Management Plans;Recommend that:1. the Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas annexed to this Resolution replace the Guide adopted by Resolution 2 (2011) and be used by those engaged in the preparation or revision of Management Plans;2. the Antarctic Treaty Secretariat post the text of Resolution 2 (2011) on its website in a way that makes clear that it is no longer current; and3. the Antarctic Treaty Secretariat make Appendix 2 of this Guide available as a stand-alone document on its website."
835,Development of a Framework for the Regulation of Tourism and Other Non-Governmental Activities in Antarctica,Adopted 30/05/2024,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Decision 5 (2024) - ATCM 46 - CEP 26, Kochi","Development of a Framework for the Regulation of Tourism and Other Non-Governmental Activities in AntarcticaThe Representatives,Affirming the determination of the Antarctic Treaty Consultative Meeting (“ATCM”) to continue to manage and regulate tourism and other non-governmental activities in the Antarctic Treaty area in accordance with the values, objectives and principles of the Antarctic Treaty and its Protocol on Environmental Protection (“the Protocol”);Acknowledging the longstanding efforts of the ATCM to manage Antarctic tourism and other non-governmental activities, including the adoption of specific Measures, Decisions and Resolutions in support of the management of these activities;Recalling Resolution 7 (2009) General Principles of Antarctic Tourism through which the ATCM articulated general principles to be used to inform and guide further work in managing Antarctic tourism activities;Recognising the potential of properly managed tourism to enhance public appreciation of the intrinsic values of Antarctica;Concerned by the actual and potential impacts of the recent large increase in visitation and diversification of tourism and other non-governmental activities in the Antarctic Treaty area;Desiring to that end to continue to draw upon the best scientific and technical advice available, including relevant data, consistent with Article 10 of the Protocol;Reaffirming their commitment to the comprehensive protection of the Antarctic environment and dependent and associated ecosystems and the protection of Antarctica as a natural reserve, devoted to peace and science;Reaffirming that protection of the environment is essential, and precaution is to be applied to preserve Antarctica for present and future generations;Committed to ensuring that all activities undertaken in the Antarctic Treaty area are conducted as safely as possible;Recalling that ATCM XLV initiated a dedicated process to develop a comprehensive and consistent framework for the regulation of tourism and other non-governmental activities in the Antarctic Treaty area (Decision 6 (2023));Determined to take urgent, ambitious and comprehensive action, including with respect to the potential of broad and cumulative effects on the Antarctic environment of all human activities;Aiming at developing such a framework in an expeditious manner;Decide:1. to develop a comprehensive and consistent framework for the regulation of Antarctic tourism and other non-governmental activities;2. that the development of such a framework continues to be discussed in a special Working Group of the ATCM, taking into account:best practices and examples developed by the ATCM;-  the relevance of existing practices and examples, including those developed by the International Association of Antarctica Tour Operators (“IAATO”), and from around the world;-  existing requirements for information exchange under Decision 4 (2023) and any need to revise them;- information exchanged through the Electronic Information Exchange System;- results of monitoring and observation programmes;- the implementation of the precautionary approach;3. that the framework:- be ambitious, comprehensive, dynamic and flexible;- builds upon the specific Measures, Decisions and Resolutions in support of the management of tourism and other non-governmental activities as well as their implementation;- addresses the orderly, coordinated and predictable conduct of tourism and other non-governmental activities, and does not undermine the objectives of governmental activities;- addresses all aspects of tourism and other non-governmental activities, including but not limited to tourism’s relationship with the protection of the environment, scientific research, and the preservation of human life and safety;- will be developed from discussions of the topics listed in the Annex with a view to addressing them in the framework; and4. that the dedicated process referred to in Decision 6 (2023) is to be completed as soon as possible, noting that the 50th ATCM is expected to be held in 2028, and:- will include intersessional work in the form of an ATCM intersessional contact group, convened by the Chair of the special Working Group, including online workshops as appropriate, taking into account different time zones;- may, subject to available resources, include intersessional work in the form of:- in-person workshops enabling virtual attendance;- Meetings of Experts and/or Special ATCMs as agreed by the ATCM."
834,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Adopted 30/05/2024,Institutional & legal matters,Institutional & legal matters,"Decision 4 (2024) - ATCM 46 - CEP 26, Kochi","Multi-year Strategic Work Plan for the Antarctic Treaty Consultative MeetingThe Representatives,Reaffirming the values, objectives and principles contained in the Antarctic Treaty and its Protocol on Environmental Protection;Recalling Decision 3 (2012) on the Multi-year Strategic Work Plan (“the Plan”) and its principles;Bearing in mind that the Plan is complementary to the agenda of the Antarctic Treaty Consultative Meeting (“ATCM”) and that the Parties and other ATCM participants are encouraged to contribute as usual to other matters on the ATCM agenda;Decide:1. to adopt the Plan annexed to this Decision; and2. that the Plan annexed to Decision 5 (2023) is no longer current."
