Document_Number,Subject,Status,Category,Topics,Title,Content
829,Antarctic Specially Protected Area No 182 (Western Bransfield Strait and Eastern Dallmann Bay): Management Plan,Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 17 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 182 (Western Bransfield Strait and Eastern Dallmann Bay): Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling. Recommendation XVI-3 (1991), which designated Western Bransfield Strait, off Low Island, South Shetland Islands, as Site of Special Scientific Interest (“SSSI”) No 35 and annexed a Management Plan for the Site;. Measure 3 (2001), which extended the expiry date of SSSI 35;. Decision 1 (2002), which renamed and renumbered SSSI 35 as ASPA 152;. Measures 2 (2003), 10 (2009) and 9 (2015), which adopted revised Management Plans for ASPA 152;. Recommendation XVI-3 (1991), which designated East Dallmann Bay, off Brabant Island as SSSI 36 and annexed a Management Plan for the Site;. Measure 3 (2001), which extended the expiry date of SSSI 36;. Decision 1 (2002), which renamed and renumbered SSSI 36 as ASPA 153;. Measures 2 (2003), 11 (2009) and 10 (2015), which adopted revised Management Plans for ASPA 153;Recalling that Recommendation XVI-3 (1991) did become effective and was withdrawn by Measure 10 (2009);Recalling that Measure 3 (2001) did not enter into effect and was withdrawn by Measure 4 (2011);Noting that the Committee for Environmental Protection (“CEP”) has endorsed a new ASPA at Western Bransfield Strait and Eastern Dallman Bay, incorporating ASPAs 152 and 153, and has endorsed the Management Plan annexed to this Measure;Recognising that this area supports outstanding environmental, scientific, historic, aesthetic or wilderness values, or ongoing planned scientific research, and would benefit from special protection;Desiring to designate Western Bransfield Strait and Eastern Dallman Bay as ASPA 182, incorporating ASPAs 152 and 153, and to approve the Management Plan for this Area;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. Western Bransfield Strait and Eastern Dallman Bay be designated as Antarctic Specially Protected Area No 182;2. the Management Plan, which is annexed to this Measure, be approved;3. the Management Plan for Antarctic Specially Protected Area No 152, annexed to Measure 9 (2015), and the Management Plan for Antarctic Specially Protected Area No 153, annexed to Measure 10 (2015), be revoked; and4. Antarctic Specially Protected Areas No 152 and No 153 shall not be used as future designations."
828,"Antarctic Specially Protected Area No 181 (Farrier Col, Horseshoe Island, Marguerite Bay): Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 16 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 181 (Farrier Col, Horseshoe Island, Marguerite Bay): Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Noting that the Committee for Environmental Protection (“CEP”) has endorsed a Management Plan for ASPA 181;Recognising that this area supports outstanding environmental, scientific, historic, aesthetic or wilderness values, or ongoing or planned scientific research, and would benefit from special protection;Desiring to designate Farrier Col, Horseshoe Island, Marguerite Bay as ASPA 181 and to approve the Management Plan for this Area;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. Farrier Col, Horseshoe Island, Marguerite Bay be designated as Antarctic Specially Protected Area No 181; and2. the Management Plan, which is annexed to this Measure, be approved."
827,"Antarctic Specially Protected Area No 180 (Danger Islands Archipelago, North-eastern Antarctic Peninsula): Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 15 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 180 (Danger Islands Archipelago, North-eastern Antarctic Peninsula): Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Noting that the Committee for Environmental Protection (“CEP”) has endorsed a Management Plan for ASPA 180;Recognising that this area supports outstanding environmental, scientific, historic, aesthetic or wilderness values, or ongoing or planned scientific research, and would benefit from special protection;Desiring to designate Danger Islands Archipelago, North-eastern Antarctic Peninsula as ASPA 180 and to approve the Management Plan for this Area;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. Danger Islands Archipelago, North-eastern Antarctic Peninsula be designated as Antarctic Specially Protected Area No 180; and2. the Management Plan, which is annexed to this Measure, be approved."
826,Antarctic Specially Protected Area No 175 (High Altitude Geothermal sites of the Ross Sea region): Revised Management Plan,Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 14 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 175 (High Altitude Geothermal sites of the Ross Sea region): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIV-5 (1987), which designated the Summit of Mount Melbourne, Victoria Land as Site of Special Scientific Interest (“SSSI”) No 24, and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the expiry dates for SSSI 24;Recommendation XVI-8 (1991), which designated Cryptogam Ridge, located within SSSI 24, as Specially Protected Area (“SPA”) No 22, and annexed a Management Plan for the Area;Recommendation XIII-8 (1985), which designated Tramway Ridge as SSSI 11, and Measures 2 (1995) and 3 (1997), which adopted revised Management Plans for the Site;Decision 1 (2002), which renamed and renumbered SSSI 24 and SPA 22 as merged ASPA 118 (Summit of Mount Melbourne, Victoria Land), and renamed and renumbered SSSI 11 as ASPA 130;Measures 2 (2003) and 5 (2008), which adopted revised Management Plans for ASPA 118;Measure 1 (2002), which adopted a revised Management Plan for ASPA 130;Measure 13 (2014), which merged ASPAs 118 and 130 as ASPA 175 (High Altitude Geothermal sites of the Ross Sea region), and adopted a Management Plan for the Area;Recalling that Resolution 3 (1996) was designated as no longer current by Decision 1 (2011);Recalling that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Recalling that Recommendation XVI-8 (1991) and Measure 2 (1995) did not become effective and were designated as no longer current by Decision 1 (2011);Recalling that Measure 3 (1997) did not become effective and was withdrawn by Measure 6 (2011);Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 175;Desiring to replace the existing Management Plan for ASPA 175 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 175 (High Altitude Geothermal sites of the Ross Sea region), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 175 annexed to Measure 13 (2014) be revoked."
825,"Antarctic Specially Protected Area No 173 (Cape Washington and Silverfish Bay, Terra Nova Bay, Ross Sea): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 13 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 173 (Cape Washington and Silverfish Bay, Terra Nova Bay, Ross Sea): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 17 (2013), which designated Cape Washington and Silverfish Bay, Terra Nova Bay, Ross Sea as ASPA 173 and adopted a Management Plan for the Area;Measure 9 (2019), which adopted a revised Management Plans for ASPA 173;Noting the approval of the Commission for the Conservation of Antarctic Marine Living Resources (“CCAMLR”), at its thirty-first meeting, of the draft Management Plan for the ASPA at Cape Washington and Silverfish Bay, Terra Nova Bay, Ross Sea;Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 173;Desiring to replace the existing Management Plan for ASPA 173 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 173 (Cape Washington and Silverfish Bay, Terra Nova Bay, Ross Sea), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 173 annexed to Measure 9 (2019) be revoked."
824,"Antarctic Specially Protected Area No 171 (Narębski Point, Barton Peninsula, King George Island): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 12 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 171 (Narębski Point, Barton Peninsula, King George Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 13 (2009), which designated Narębski Point, Barton Peninsula, King George Island as ASPA 171 and adopted a Management Plan for the Area;Measures 11 (2014) and 8 (2019), which adopted revised Management Plans for ASPA 171;Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 171;Desiring to replace the existing Management Plan for ASPA 171 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 171 (Narębski Point, Barton Peninsula, King George Island), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 171 annexed to Measure 8 (2019) be revoked."
823,"Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 11 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 2 (2003), which designated Terra Nova Bay, Ross Sea as ASPA 161 and adopted a Management Plan for the Area;Measures 14 (2008), 15 (2013) and 7 (2019), which adopted revised Management Plans for ASPA 161;Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 161;Desiring to replace the existing Management Plan for ASPA 161 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 161 annexed to Measure 7 (2019) be revoked."
822,"Antarctic Specially Protected Area No 160 (Frazier Islands, Windmill Islands, Wilkes Land, East Antarctica): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 10 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 160 (Frazier Islands, Windmill Islands, Wilkes Land, East Antarctica): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 2 (2003), which designated Frazier Islands, Windmill Islands, Wilkes Land, East Antarctica as ASPA 160 and adopted a Management Plan for the Area;Measures 13 (2008) and 14 (2013), which adopted revised Management Plans for ASPA 160;Recalling that the Committee for Environmental Protection (“CEP”) XXII (2019) reviewed and continued without changes the Management Plan for ASPA 160, which is annexed to Measure 14 (2013);Noting that the CEP has endorsed a revised Management Plan for ASPA 160;Desiring to replace the existing Management Plan for ASPA 160 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 160 (Frazier Islands, Windmill Islands, Wilkes Land, East Antarctica), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 160 annexed to Measure 14 (2013) be revoked."
821,"Antarctic Specially Protected Area No 154 (Botany Bay, Cape Geology, Victoria Land): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 9 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 154 (Botany Bay, Cape Geology, Victoria Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 3 (1997), which designated Botany Bay, Cape Geology, Victoria Land as Site of Special Scientific Interest (“SSSI”) No 37 and adopted a Management Plan for the Site;Decision 1 (2002), which renamed and renumbered SSSI 37 as ASPA 154;Measures 2 (2003), 11 (2008), 12 (2013) and 6 (2019), which adopted revised Management Plans for ASPA 154;Recalling that Measure 3 (1997) did not become effective and was withdrawn by Measure 6 (2011);Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 154;Desiring to replace the existing Management Plan for ASPA 154 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 154 (Botany Bay, Cape Geology, Victoria Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 154 annexed to Measure 6 (2019) be revoked."
820,"Antarctic Specially Protected Area No 151 (Lions Rump, King George Island, South Shetland Islands): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 8 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 151 (Lions Rump, King George Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XVI-2 (1991), which designated Lions Rump, King George Island, South Shetland Islands as Site of Special Scientific Interest (“SSSI”) No 34 and annexed a Management Plan for the Site;Measure 1 (2000), which annexed a revised Management Plan for SSSI 34;Decision 1 (2002), which renamed and renumbered SSSI 34 as ASPA 151;Measures 11 (2013) and 5 (2019), which adopted revised Management Plans for ASPA 151;Recalling that Measure 1 (2000) did not become effective and was withdrawn by Decision 3 (2017);Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 151;Desiring to replace the existing Management Plan for ASPA 151 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 151 (Lions Rump, King George Island, South Shetland Islands), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 151 annexed to Measure 5 (2019) be revoked."
819,Antarctic Specially Protected Area No 142 (Svarthamaren): Revised Management Plan,Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 7 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 142 (Svarthamaren): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIV-5 (1987), which designated Svarthamaren as Site of Special Scientific Interest (“SSSI”) No 23 and annexed a Management Plan for the Site;Resolution 3 (1996), which extended the expiry date of SSSI 23;Measure 1 (1999), which adopted a revised Management Plan for SSSI 23;Decision 1 (2002), which renamed and renumbered SSSI 23 as ASPA 142;Measures 2 (2004), 8 (2009), 8 (2014) and 4 (2019), which adopted revised Management Plans for ASPA 142;Recalling that Recommendation XIV-5 was designated as no longer current by Measure 13 (2014);Recalling that Resolution 3 (1996) was designated as no longer current by Decision 1 (2011);Recalling that Measure 1 (1999) did not become effective and was withdrawn by Measure 8 (2009);Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 142;Desiring to replace the existing Management Plan for ASPA 142 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 142 (Svarthamaren), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 142 annexed to Measure 4 (2019) be revoked."
818,"Antarctic Specially Protected Area No 141 (Yukidori Valley, Langhovde, Lützow-Holm Bay): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 6 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 141 (Yukidori Valley, Langhovde, Lützow-Holm Bay): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIV-5 (1987), which designated Yukidori Valley, Langhovde, Lützow-Holm Bay as Site of Special Scientific Interest (“SSSI”) No 22 and annexed a Management Plan for the Site;Recommendation XVI-7 (1991), which extended the expiry date of SSSI 22;Measure 1 (2000), which adopted a revised Management Plan for SSSI 22;Decision 1 (2002), which renamed and renumbered SSSI 22 as ASPA 141;Measures 7 (2014) and 3 (2019), which adopted revised Management Plans for ASPA 141;Recalling that Recommendation XIV-5 (1987) was designated as no longer current by Measure 13 (2014);Recalling that Recommendation XVI-7 (1991) did not become effective and was designated as no longer current by Decision 1 (2011);Recalling that Measure 1 (2000) did not become effective and was withdrawn by Decision 3 (2017);Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 141;Desiring to replace the existing Management Plan for ASPA 141 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 141 (Yukidori Valley, Langhovde, Lützow-Holm Bay), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 141 annexed to Measure 3 (2019) be revoked."
817,"Antarctic Specially Protected Area No 137 (Northwest White Island, McMurdo Sound): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 5 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 137 (Northwest White Island, McMurdo Sound): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Northwest White Island, McMurdo Sound as Site of Special Scientific Interest (“SSSI”) No 18 and annexed a Management Plan for the Site;Recommendation XVI-7 (1991) and Measure 3 (2001), which extended the expiry date of SSSI 18;Decision 1 (2002), which renamed and renumbered SSSI 18 as ASPA 137;Measures 1 (2002), 9 (2008), 7 (2013) and 7 (2023), which adopted revised Management Plans for ASPA 137;Recalling that Recommendation XIII-8 was designated as no longer current by Measure 13 (2014);Recalling that Recommendation XVI-7 (1991) did not become effective and was designated as no longer current by Decision 1 (2011);Recalling that Measure 3 (2001) did not become effective and was withdrawn by Measure 4 (2011);Recalling that the Committee for Environmental Protection (“CEP”) XXI (2018) reviewed and continued without changes the Management Plan for ASPA 137, which is annexed to Measure 7 (2013);Noting that the CEP has endorsed a revised Management Plan for ASPA 137;Desiring to replace the existing Management Plan for ASPA 137 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 137 (Northwest White Island, McMurdo Sound), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 137 annexed to Measure 7 (2023) be revoked."
816,"Antarctic Specially Protected Area No 136 (Clark Peninsula, Budd Coast, Wilkes Land, East Antarctica): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 4 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 136 (Clark Peninsula, Budd Coast, Wilkes Land, East Antarctica): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Clark Peninsula, Budd Coast, Wilkes Land as Site of Special Scientific Interest (“SSSI”) No 17 and annexed a Management Plan for the Site;Resolution 7 (1995), which extended the expiry date of SSSI 17;Measure 1 (2000), which adopted a revised Management Plan for SSSI 17;Decision 1 (2002), which renamed and renumbered SSSI 17 as ASPA 136;Measures 1 (2006), 7 (2009) and 5 (2014), which adopted revised Management Plans for ASPA 136;Recalling that Recommendation XIII-8 was designated as no longer current by Measure 13 (2014).Recalling that Resolution 7 (1995) was designated as no longer current by Decision 1 (2011);Recalling that Measure 1 (2000) did not become effective and was withdrawn by Decision 3 (2017);Recalling that the Committee for Environmental Protection (“CEP”) XXII (2019) reviewed and continued without changes the Management Plan for ASPA 136, which is annexed to Measure 5 (2014);Noting that the CEP has endorsed a revised Management Plan for ASPA 136;Desiring to replace the existing Management Plan for ASPA 136 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 136 (Clark Peninsula, Budd Coast, Wilkes Land, East Antarctica), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 136 annexed to Measure 5 (2014) be revoked."
815,"Antarctic Specially Protected Area No 135 (North-east Bailey Peninsula, Budd Coast, Wilkes Land): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 3 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 135 (North-east Bailey Peninsula, Budd Coast, Wilkes Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated North-east Bailey Peninsula, Budd Coast, Wilkes Land as Site of Special Scientific Interest (“SSSI”) No 16 and annexed a Management Plan for the Site;Resolution 7 (1995) and Measure 2 (2000), which extended the expiry date of SSSI 16;Decision 1 (2002), which renamed and renumbered SSSI 16 as ASPA 135;Measures 2 (2003), 8 (2008) and 6 (2013), which adopted revised Management Plans for ASPA 135;Recalling that Recommendation XIII-8 (1995) was designated as no longer current by Measure 13 (2014);Recalling that Resolution 7 (1995) was designated as no longer current by Decision 1 (2011);Recalling that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Recalling that the Committee for Environmental Protection (“CEP”) XXII (2019) reviewed and continued without changes the Management Plan for ASPA 135, which is annexed to Measure 6 (2013);Noting that the CEP has endorsed a revised Management Plan for ASPA 135;Desiring to replace the existing Management Plan for ASPA 135 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 135 (North-east Bailey Peninsula, Budd Coast, Wilkes Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 135 annexed to Measure 6 (2013) be revoked."
814,"Antarctic Specially Protected Area No 128 (Western shore of Admiralty Bay, King George Island, South Shetland Islands): Revised Management Plan",Effective 28/10/2024 (Fast Approval),Area protection and management,Area protection and management,"Measure 2 (2024) - ATCM 46 - CEP 26, Kochi","Antarctic Specially Protected Area No 128 (Western shore of Admiralty Bay, King George Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation X-5 (1979), which designated the Western shore of Admiralty Bay, King George Island as Site of Special Scientific Interest (“SSSI”) No 8 and annexed a Management Plan for the Site;Recommendations XII-5 (1983), XIII-7 (1985) and Resolution 7 (1995), which extended the expiry date for SSSI 8;Measure 1 (2000), which adopted a revised Management Plan for SSSI 8;Decision 1 (2002), which renamed and renumbered SSSI 8 as ASPA 128;Measure 2 (2006), which designated Admiralty Bay, King George Island as Antarctic Specially Managed Area (“ASMA”) No 1, within which ASPA 128 is located;Measures 14 (2014) and 1 (2023), which adopted revised Management Plans for ASMA 1;Measures 4 (2014) and 2 (2019), which adopted revised Management Plans for ASPA 128;Recalling that Recommendations X-5 (1979), XII-5 (1983), XIII-7 (1985) and Resolution 7 (1995) were designated as no longer current by Decision 1 (2011);Recalling that Measure 1 (2000) did not become effective and was withdrawn by Decision 3 (2017);Noting that the Committee for Environmental Protection (“CEP”) has endorsed a revised Management Plan for ASPA 128;Desiring to replace the existing Management Plan for ASPA 128 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 128 (Western shore of Admiralty Bay, King George Island, South Shetland Islands), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 128 annexed to Measure 2 (2019) be revoked."
